teff_gspphot,phot_g_mean_flux,distance_pc,radius_gspphot
4718.4155,5667.171903538416,1028.5825429500574,0.8055
3588.9321,1297.1214284505627,602.4948276329642,0.5133
4538.126,3160.7844742822563,864.2304619210523,0.678
5239.3267,8646.161362919025,1420.8189499587077,0.9108
4384.37,2962.0469118025803,1035.4164341893395,0.8527
4302.675,6266.710835593366,726.1686834979922,0.894
6028.1465,17345.387865490095,2650.6410183391995,1.4205
6214.211,70447.80050293946,1049.6706005895733,1.5725
6505.534,398379.8994433853,413.03101635031175,1.3532
5415.6157,10664.316312847375,1549.9365200884881,0.9641
6301.089,67608.92628084664,850.53923543407,1.2862
4302.9536,2318.4769904282543,1036.7263517287226,0.508
6306.6567,532290.3926753473,377.13832026470254,1.5174
5992.3438,184609.73490649997,488.7031718375072,1.2656
5274.451,58786.7273736196,379.1532071024848,0.7581
4502.5107,16932.950032114695,369.5513194526258,0.7073
4781.561,48961.04381446751,487.71727569064177,1.0599
5177.9097,6358.019640584822,1077.2893602119948,1.8178
5603.669,9150.002429281483,1847.2462201459791,0.9221
5000.7944,5428.696016948794,1572.4625165773537,0.7042
5381.1074,21757.932190343017,1004.4685261502091,1.0255
5556.6797,9352.10462755163,1470.6289681433138,0.7211
3237.6477,544.2228704965695,345.97870084596275,0.2363
5131.6953,7469.895846421203,1516.465432530602,0.8886
4644.1357,633140.3052293704,1284.9711439380974,14.5451
4829.379,6793.527356163296,882.6198936555401,0.6542
3774.1936,2673.760049312602,495.9475035653362,0.5553
5530.097,51025.31502846759,514.1238568793349,0.813
3800.3784,1941.2614788735293,627.3370987835772,0.4583
5396.2363,7024.881216904596,1698.499616274758,0.6924
5556.6064,13602.76994125552,1352.0555223741414,0.9674
5384.036,7947.852620984218,1713.287902812575,0.8008
3573.089,3958.9456973953047,383.64503352423253,0.8003
5777.624,8736.420456301405,1742.411116600833,0.7647
5238.1675,47159.27441516477,3369.6387344371215,4.3466
4158.1743,4158.754462633096,678.1187811200103,0.6807
5617.927,20365.118315626605,1044.2227636300672,0.9325
