source_id,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,radius_gspphot
139278028405703936,0.6079499963544913,0.05390389,11.278407,1.0072509,16.14932,16.62497,15.511055,1.1139145,5264.6675,0.8977
139278406363057664,0.5647685378280964,0.030401625,18.57692,0.9779857,14.807412,15.286796,14.161721,1.1250744,5314.8564,1.6747
139281533096982784,20.564833049502063,0.03159513,650.88617,0.9862343,8.057492,8.313494,7.5817647,0.73172903,5928.3584,0.9786
139282868831528064,4.501404355001494,0.024095498,186.81517,1.0181582,13.836119,14.734376,12.895037,1.8393393,3980.7976,0.9724
139286309102611840,0.8774045115611954,0.043032993,20.389112,1.1245804,15.436232,15.893337,14.796743,1.0965939,5137.1157,0.9968
139288267607674752,1.2534502177590592,0.019421594,64.538994,1.1148096,13.512721,13.92085,12.932662,0.9881878,5779.47,1.5613
139290050016998528,0.7656833981791775,0.025405452,30.138546,1.0242668,14.63435,15.004119,14.088332,0.91578674,6277.3726,1.3087
139290123033530240,0.9704476997359498,0.022506477,43.1186,1.1093037,14.343811,14.708529,13.804959,0.9035702,6409.265,1.2246
139292042881665664,2.4947105396271607,0.01935643,128.88278,1.019198,11.920277,12.346826,11.326008,1.0208178,5723.225,1.703
139294521080026112,1.0972658083551714,0.04034884,27.194483,1.138567,15.299752,15.88989,14.561819,1.3280706,4973.3315,1.0444
139300843271897984,1.4759034656494403,0.04885062,30.212585,1.118013,16.054464,16.772295,15.236474,1.535821,4673.864,0.7861
139307405982040576,0.9238837155155721,0.023809351,38.8034,1.0536182,14.077268,14.49606,13.487961,1.0080996,5616.1445,1.6648
139316854909930880,0.8933266063991587,0.026660664,33.50729,1.1158041,14.143512,14.510176,13.605541,0.9046345,6419.7627,1.4145
139317748263146624,0.716446466255811,0.058861237,12.171787,1.0165572,16.3291,16.821375,15.682405,1.1389694,4732.2134,0.6734
139325028230509824,1.1996596167013986,0.023309983,51.46549,1.0930359,13.528375,13.927555,12.958669,0.9688864,5966.6177,1.5218
139329426277322496,4.606452646290305,0.20597145,22.36452,1.112393,17.927898,19.466154,16.768515,2.6976395,3278.7908,0.2588
139329945970210816,1.0113955008636974,0.02602243,38.8663,1.0721604,13.928054,14.324742,13.3624115,0.9623308,6372.92,1.3144
139331625301098240,1.288697274659021,0.09582868,13.447928,1.050574,17.227873,18.08669,16.327517,1.7591743,4486.0347,0.6912
139333107065895168,0.6766844241017143,0.045253836,14.953085,0.9642096,15.696699,16.153381,15.063761,1.0896206,5621.268,0.836
139333588102236160,0.5211395603239886,0.051132225,10.1919985,0.97740036,16.13832,16.685545,15.438946,1.2465992,5172.1514,0.7711
139334893772302336,1.9615095651221188,0.19591492,10.012048,1.1909628,18.110498,19.268017,16.977123,2.2908936,3650.1418,0.6643
139337573831878400,3.046731747269149,0.016524557,184.37599,0.930089,11.900772,12.24526,11.384742,0.86051846,5950.808,1.2273
139341112884921600,0.7566642873401468,0.0319579,23.67691,1.0705893,14.966453,15.461143,14.310026,1.1511164,5194.5684,1.5298
139341525201776000,0.7597758061370931,0.030850658,24.627539,1.0041132,14.889609,15.340137,14.268751,1.0713854,5847.6274,1.2859
139344995535351424,0.8598574472237948,0.023689771,36.29657,1.0032237,14.515285,15.028318,13.849513,1.1788054,5156.5327,1.7025
139346606147178624,4.364953631320358,0.08929294,48.883522,0.97160494,17.14138,18.60331,15.973773,2.6295366,3458.4255,0.3765
139352314159445504,0.6522452411370558,0.033295255,19.589735,0.98457605,15.258009,15.6545725,14.68743,0.9671421,5848.539,1.0305
139352382878922752,0.7754557142650155,0.050680853,15.300763,1.110541,15.971683,16.45336,15.316575,1.1367846,5369.6284,0.7249
139352726476304128,1.2143849921491459,0.015846442,76.63455,1.1395808,13.072959,13.571796,12.410009,1.161787,5160.585,2.6989
139359838942307584,0.7284958773074898,0.032109387,22.68794,1.3966888,14.488494,14.879807,13.886667,0.9931402,5520.2573,1.4691
139360869734435840,1.4415190179132849,0.06039568,23.867916,1.0354615,16.202888,16.931936,15.396181,1.5357552,4579.7266,0.6905
139369356589795328,1.487542065199693,0.11783555,12.623881,0.92626435,17.551464,18.700201,16.51208,2.1881218,4107.0176,0.7721
139374098233693568,2.1892695835271994,0.02071763,105.67182,1.079821,12.634134,13.031782,12.065299,0.9664831,5718.32,1.365
139379905029441792,1.3406390607404293,0.091929205,14.583385,0.93290526,16.941853,17.720343,16.094475,1.6258678,4293.105,0.7659
139382104052664320,1.4819456805663278,0.033474952,44.270283,0.99309933,15.027783,15.486335,14.351641,1.1346941,5380.4224,0.7187
139382275851347200,0.665392710313139,0.031659123,21.01741,1.1172944,14.731343,15.132864,14.160247,0.97261715,5732.36,1.3535
139386089782348544,1.0039254304467014,0.069103464,14.52786,1.0381144,16.421387,17.0251,15.682576,1.3425245,4625.379,0.6292
139386399020153984,0.916245641237843,0.07197003,12.730933,0.9906973,16.692474,17.299025,15.951266,1.3477583,4575.7637,0.626
139386463442801920,0.6152001245920512,0.04023693,15.28944,0.9688631,15.406109,15.779238,14.866775,0.9124632,5641.951,1.0376
139388009631037696,2.5601370605647134,0.197499,12.962785,1.0531242,18.344889,19.961008,17.122412,2.8385963,3404.2693,0.3681
139388185726415104,0.7792215680332644,0.061078444,12.757718,1.0480921,16.36528,16.855448,15.724601,1.130847,4773.124,0.7794
139389594475669376,0.46014906216989815,0.036389574,12.64508,0.97560334,15.05489,15.349589,14.589312,0.76027775,6468.235,1.3968
139393374046849792,0.9225266756333222,0.035931703,25.67445,1.023816,15.206716,15.633378,14.617775,1.0156031,5498.943,0.8182
139394542277928064,0.7494515412520834,0.025194151,29.747046,1.0703198,14.304809,14.61997,13.819625,0.8003454,5947.735,1.7759
139394920235042816,0.6689691715180265,0.04098744,16.321321,0.9866907,15.4444475,15.8161,14.902457,0.9136429,5688.137,0.8522
139396088466195712,0.7891890625738022,0.024942115,31.640825,1.3413794,12.405291,12.886258,11.760333,1.1259251,5309.881,4.149
139398321849148416,0.7808480319437827,0.031894032,24.482574,0.98389894,14.711001,15.037751,14.219384,0.818367,6031.6387,1.169
139403132212472832,2.093130234038205,0.01538327,136.06537,1.0298041,12.5534115,12.89564,12.041913,0.85372734,5894.4717,1.4142
139405812272066432,1.0351988965274732,0.028437793,36.402225,0.98369604,14.697726,15.123586,14.104984,1.0186014,5369.5693,1.1176
139411825226245120,0.8082393661850779,0.035479683,22.780344,0.9936475,15.361161,15.773561,14.785356,0.98820496,5179.1865,1.3817
